,Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,SeriesLength
522,1989,Western,Round 1,Phoenix Suns,3,-1000.0,Denver Nuggets,6,700.0,1,3.0
523,1989,Western,Round 1,Seattle SuperSonics,4,-280.0,Houston Rockets,5,230.0,1,4.0
524,1988,,NBA Finals,Los Angeles Lakers,1,-260.0,Detroit Pistons,2,210.0,1,7.0
525,1988,Eastern,Conf Finals,Boston Celtics,1,-250.0,Detroit Pistons,2,200.0,2,6.0
526,1988,Western,Conf Finals,Los Angeles Lakers,1,-450.0,Dallas Mavericks,3,300.0,1,7.0
527,1988,Eastern,Conf Semis,Boston Celtics,1,-500.0,Atlanta Hawks,4,300.0,1,7.0
528,1988,Eastern,Conf Semis,Detroit Pistons,2,-240.0,Chicago Bulls,3,200.0,1,5.0
529,1988,Western,Conf Semis,Los Angeles Lakers,1,,Utah Jazz,5,,1,7.0
530,1988,Western,Conf Semis,Denver Nuggets,2,-170.0,Dallas Mavericks,3,150.0,2,6.0
531,1988,Eastern,Round 1,Boston Celtics,1,-1200.0,New York Knicks,8,800.0,1,4.0
532,1988,Eastern,Round 1,Detroit Pistons,2,-800.0,Washington Bullets,7,550.0,1,5.0
533,1988,Eastern,Round 1,Chicago Bulls,3,-300.0,Cleveland Cavaliers,6,240.0,1,5.0
534,1988,Eastern,Round 1,Atlanta Hawks,4,-450.0,Milwaukee Bucks,5,300.0,1,5.0
535,1988,Western,Round 1,Los Angeles Lakers,1,-3000.0,San Antonio Spurs,8,2000.0,1,3.0
536,1988,Western,Round 1,Denver Nuggets,2,-500.0,Seattle SuperSonics,7,350.0,1,5.0
537,1988,Western,Round 1,Dallas Mavericks,3,-400.0,Houston Rockets,6,300.0,1,4.0
538,1988,Western,Round 1,Portland Trail Blazers,4,-250.0,Utah Jazz,5,200.0,2,4.0
539,1987,,NBA Finals,Los Angeles Lakers,1,-600.0,Boston Celtics,1,400.0,1,6.0
540,1987,Eastern,Conf Finals,Boston Celtics,1,,Detroit Pistons,3,,1,7.0
541,1987,Western,Conf Finals,Los Angeles Lakers,1,,Seattle SuperSonics,7,,1,4.0
542,1987,Eastern,Conf Semis,Boston Celtics,1,,Milwaukee Bucks,4,,1,7.0
543,1987,Eastern,Conf Semis,Atlanta Hawks,2,,Detroit Pistons,3,,2,5.0
544,1987,Western,Conf Semis,Los Angeles Lakers,1,,Golden State Warriors,5,,1,5.0
545,1987,Western,Conf Semis,Houston Rockets,6,,Seattle SuperSonics,7,,2,6.0
546,1987,Eastern,Round 1,Boston Celtics,1,,Chicago Bulls,8,,1,3.0
547,1987,Eastern,Round 1,Atlanta Hawks,2,,Indiana Pacers,7,,1,4.0
548,1987,Eastern,Round 1,Detroit Pistons,3,,Washington Bullets,6,,1,3.0
549,1987,Eastern,Round 1,Milwaukee Bucks,4,,Philadelphia 76ers,5,,1,5.0
550,1987,Western,Round 1,Los Angeles Lakers,1,,Denver Nuggets,8,,1,3.0
551,1987,Western,Round 1,Dallas Mavericks,2,,Seattle SuperSonics,7,,2,4.0
552,1987,Western,Round 1,Portland Trail Blazers,3,,Houston Rockets,6,,2,4.0
553,1987,Western,Round 1,Utah Jazz,4,,Golden State Warriors,5,,2,5.0
554,1986,,NBA Finals,Boston Celtics,1,-700.0,Houston Rockets,2,500.0,1,6.0
555,1986,Eastern,Conf Finals,Boston Celtics,1,,Milwaukee Bucks,2,,1,4.0
556,1986,Western,Conf Finals,Los Angeles Lakers,1,,Houston Rockets,2,,2,5.0
557,1986,Eastern,Conf Semis,Boston Celtics,1,,Atlanta Hawks,4,,1,5.0
558,1986,Eastern,Conf Semis,Milwaukee Bucks,2,,Philadelphia 76ers,3,,1,7.0
559,1986,Western,Conf Semis,Los Angeles Lakers,1,,Dallas Mavericks,4,,1,6.0
560,1986,Western,Conf Semis,Houston Rockets,2,,Denver Nuggets,3,,1,6.0
561,1986,Eastern,Round 1,Boston Celtics,1,,Chicago Bulls,8,,1,3.0
562,1986,Eastern,Round 1,Milwaukee Bucks,2,,New Jersey Nets,7,,1,3.0
563,1986,Eastern,Round 1,Philadelphia 76ers,3,,Washington Bullets,6,,1,5.0
564,1986,Eastern,Round 1,Atlanta Hawks,4,,Detroit Pistons,5,,1,4.0
565,1986,Western,Round 1,Los Angeles Lakers,1,,San Antonio Spurs,8,,1,3.0
566,1986,Western,Round 1,Houston Rockets,2,,Sacramento Kings,7,,1,3.0
567,1986,Western,Round 1,Denver Nuggets,3,,Portland Trail Blazers,6,,1,4.0
568,1986,Western,Round 1,Dallas Mavericks,4,,Utah Jazz,5,,1,4.0
569,1985,,NBA Finals,Boston Celtics,1,170.0,Los Angeles Lakers,1,-200.0,2,6.0
570,1985,Eastern,Conf Finals,Boston Celtics,1,,Philadelphia 76ers,3,,1,5.0
571,1985,Western,Conf Finals,Los Angeles Lakers,1,,Denver Nuggets,2,,1,5.0
572,1985,Eastern,Conf Semis,Boston Celtics,1,,Detroit Pistons,4,,1,6.0
573,1985,Eastern,Conf Semis,Milwaukee Bucks,2,,Philadelphia 76ers,3,,2,4.0
574,1985,Western,Conf Semis,Los Angeles Lakers,1,,Portland Trail Blazers,5,,1,5.0
575,1985,Western,Conf Semis,Denver Nuggets,2,,Utah Jazz,6,,1,5.0
576,1985,Eastern,Round 1,Boston Celtics,1,,Cleveland Cavaliers,8,,1,4.0
577,1985,Eastern,Round 1,Milwaukee Bucks,2,,Chicago Bulls,7,,1,4.0
578,1985,Eastern,Round 1,Philadelphia 76ers,3,,Washington Bullets,6,,1,4.0
579,1985,Eastern,Round 1,Detroit Pistons,4,,New Jersey Nets,5,,1,3.0
580,1985,Western,Round 1,Los Angeles Lakers,1,,Phoenix Suns,8,,1,3.0
581,1985,Western,Round 1,Denver Nuggets,2,,San Antonio Spurs,7,,1,5.0
582,1985,Western,Round 1,Houston Rockets,3,,Utah Jazz,6,,2,5.0
583,1985,Western,Round 1,Dallas Mavericks,4,,Portland Trail Blazers,5,,2,4.0
584,1984,,NBA Finals,Boston Celtics,1,-120.0,Los Angeles Lakers,1,100.0,1,7.0
585,1984,Eastern,Conf Finals,Boston Celtics,1,,Milwaukee Bucks,2,,1,5.0
586,1984,Western,Conf Finals,Los Angeles Lakers,1,,Phoenix Suns,6,,1,6.0
587,1984,Eastern,Conf Semis,Boston Celtics,1,,New York Knicks,5,,1,7.0
588,1984,Eastern,Conf Semis,Milwaukee Bucks,2,,New Jersey Nets,6,,1,6.0
589,1984,Western,Conf Semis,Los Angeles Lakers,1,,Dallas Mavericks,4,,1,5.0
590,1984,Western,Conf Semis,Utah Jazz,2,,Phoenix Suns,6,,2,6.0
591,1984,Eastern,Round 1,Boston Celtics,1,,Washington Bullets,8,,1,4.0
592,1984,Eastern,Round 1,Milwaukee Bucks,2,,Atlanta Hawks,7,,1,5.0
593,1984,Eastern,Round 1,Philadelphia 76ers,3,,New Jersey Nets,6,,2,5.0
594,1984,Eastern,Round 1,Detroit Pistons,4,,New York Knicks,5,,2,5.0
595,1984,Western,Round 1,Los Angeles Lakers,1,,Kansas City Kings,8,,1,3.0
596,1984,Western,Round 1,Utah Jazz,2,,Denver Nuggets,7,,1,5.0
597,1984,Western,Round 1,Portland Trail Blazers,3,,Phoenix Suns,6,,2,5.0
598,1984,Western,Round 1,Dallas Mavericks,4,,Seattle SuperSonics,5,,1,5.0
599,1983,,NBA Finals,Philadelphia 76ers,1,,Los Angeles Lakers,1,,1,4.0
600,1983,Eastern,Conf Finals,Philadelphia 76ers,1,,Milwaukee Bucks,2,,1,5.0
601,1983,Western,Conf Finals,Los Angeles Lakers,1,,San Antonio Spurs,2,,1,6.0
602,1983,Eastern,Conf Semis,Philadelphia 76ers,1,,New York Knicks,5,,1,4.0
603,1983,Eastern,Conf Semis,Boston Celtics,3,,Milwaukee Bucks,2,,2,4.0
604,1983,Western,Conf Semis,Los Angeles Lakers,1,,Portland Trail Blazers,5,,1,5.0
605,1983,Western,Conf Semis,San Antonio Spurs,2,,Denver Nuggets,6,,1,5.0
606,1983,Eastern,Round 1,Boston Celtics,3,,Atlanta Hawks,6,,1,3.0
607,1983,Eastern,Round 1,New Jersey Nets,4,,New York Knicks,5,,2,2.0
608,1983,Western,Round 1,Phoenix Suns,3,,Denver Nuggets,6,,2,3.0
609,1983,Western,Round 1,Seattle SuperSonics,4,,Portland Trail Blazers,5,,2,2.0
610,1982,,NBA Finals,Los Angeles Lakers,1,-160.0,Philadelphia 76ers,3,140.0,1,6.0
611,1982,Eastern,Conf Finals,Boston Celtics,1,,Philadelphia 76ers,3,,2,7.0
612,1982,Western,Conf Finals,Los Angeles Lakers,1,,San Antonio Spurs,2,,1,4.0
613,1982,Eastern,Conf Semis,Boston Celtics,1,,Washington Bullets,5,,1,5.0
614,1982,Eastern,Conf Semis,Philadelphia 76ers,3,,Milwaukee Bucks,2,,1,6.0
615,1982,Western,Conf Semis,Los Angeles Lakers,1,,Phoenix Suns,5,,1,4.0
616,1982,Western,Conf Semis,Seattle SuperSonics,3,,San Antonio Spurs,2,,2,5.0
617,1982,Eastern,Round 1,Philadelphia 76ers,3,,Atlanta Hawks,6,,1,2.0
618,1982,Eastern,Round 1,New Jersey Nets,4,,Washington Bullets,5,,2,2.0
619,1982,Western,Round 1,Seattle SuperSonics,3,,Houston Rockets,6,,1,3.0
620,1982,Western,Round 1,Denver Nuggets,4,,Phoenix Suns,5,,2,3.0
621,1981,,NBA Finals,Boston Celtics,1,-260.0,Houston Rockets,6,220.0,1,6.0
622,1981,Eastern,Conf Finals,Boston Celtics,1,-160.0,Philadelphia 76ers,3,140.0,1,7.0
623,1981,Western,Conf Finals,Kansas City Kings,5,-140.0,Houston Rockets,6,120.0,2,5.0
624,1981,Eastern,Conf Semis,Boston Celtics,1,-180.0,Chicago Bulls,5,160.0,1,4.0
625,1981,Eastern,Conf Semis,Philadelphia 76ers,3,-150.0,Milwaukee Bucks,2,130.0,1,7.0
626,1981,Western,Conf Semis,Phoenix Suns,1,-220.0,Kansas City Kings,5,180.0,2,7.0
627,1981,Western,Conf Semis,San Antonio Spurs,2,-160.0,Houston Rockets,6,140.0,2,7.0
628,1981,Eastern,Round 1,Philadelphia 76ers,3,,Indiana Pacers,6,,1,2.0
629,1981,Eastern,Round 1,New York Knicks,4,,Chicago Bulls,5,,2,2.0
630,1981,Western,Round 1,Los Angeles Lakers,3,,Houston Rockets,6,,2,3.0
631,1981,Western,Round 1,Portland Trail Blazers,4,,Kansas City Kings,5,,2,3.0
632,1980,,NBA Finals,Los Angeles Lakers,1,-190.0,Philadelphia 76ers,3,170.0,1,6.0
633,1980,Eastern,Conf Finals,Boston Celtics,1,-300.0,Philadelphia 76ers,3,240.0,2,5.0
634,1980,Western,Conf Finals,Los Angeles Lakers,1,-240.0,Seattle SuperSonics,3,200.0,1,5.0
635,1980,Eastern,Conf Semis,Boston Celtics,1,-700.0,Houston Rockets,4,500.0,1,4.0
636,1980,Eastern,Conf Semis,Philadelphia 76ers,3,-120.0,Atlanta Hawks,2,100.0,1,5.0
637,1980,Western,Conf Semis,Los Angeles Lakers,1,-200.0,Phoenix Suns,4,170.0,1,5.0
638,1980,Western,Conf Semis,Seattle SuperSonics,3,-150.0,Milwaukee Bucks,2,130.0,1,7.0
639,1980,Eastern,Round 1,Philadelphia 76ers,3,-600.0,Washington Bullets,6,400.0,1,2.0
640,1980,Eastern,Round 1,Houston Rockets,4,-140.0,San Antonio Spurs,5,120.0,1,3.0
641,1980,Western,Round 1,Seattle SuperSonics,3,-1000.0,Portland Trail Blazers,6,700.0,1,3.0
642,1980,Western,Round 1,Phoenix Suns,4,-700.0,Kansas City Kings,5,500.0,1,3.0
643,1979,,NBA Finals,Washington Bullets,1,-150.0,Seattle SuperSonics,1,130.0,2,5.0
644,1979,Eastern,Conf Finals,Washington Bullets,1,-190.0,San Antonio Spurs,2,170.0,1,7.0
645,1979,Western,Conf Finals,Seattle SuperSonics,1,-160.0,Phoenix Suns,3,140.0,1,7.0
646,1979,Eastern,Conf Semis,Washington Bullets,1,,Atlanta Hawks,5,,1,7.0
647,1979,Eastern,Conf Semis,San Antonio Spurs,2,,Philadelphia 76ers,3,,1,7.0
648,1979,Western,Conf Semis,Seattle SuperSonics,1,,Los Angeles Lakers,5,,1,5.0
649,1979,Western,Conf Semis,Phoenix Suns,3,,Kansas City Kings,2,,1,5.0
650,1979,Eastern,Round 1,Philadelphia 76ers,3,-400.0,New Jersey Nets,6,300.0,1,2.0
651,1979,Eastern,Round 1,Houston Rockets,4,-160.0,Atlanta Hawks,5,140.0,2,2.0
652,1979,Western,Round 1,Phoenix Suns,3,,Portland Trail Blazers,6,,1,3.0
653,1979,Western,Round 1,Denver Nuggets,4,,Los Angeles Lakers,5,,2,3.0
654,1978,,NBA Finals,Seattle SuperSonics,4,-140.0,Washington Bullets,3,120.0,2,7.0
655,1978,Eastern,Conf Finals,Philadelphia 76ers,1,,Washington Bullets,3,,2,6.0
656,1978,Western,Conf Finals,Denver Nuggets,2,-160.0,Seattle SuperSonics,4,140.0,2,6.0
657,1978,Eastern,Conf Semis,Philadelphia 76ers,1,,New York Knicks,5,,1,4.0
658,1978,Eastern,Conf Semis,San Antonio Spurs,2,,Washington Bullets,3,,2,6.0
659,1978,Western,Conf Semis,Portland Trail Blazers,1,,Seattle SuperSonics,4,,2,6.0
660,1978,Western,Conf Semis,Denver Nuggets,2,,Milwaukee Bucks,6,,1,7.0
661,1978,Eastern,Round 1,Washington Bullets,3,,Atlanta Hawks,6,,1,2.0
662,1978,Eastern,Round 1,Cleveland Cavaliers,4,,New York Knicks,5,,2,2.0
663,1978,Western,Round 1,Phoenix Suns,3,,Milwaukee Bucks,6,,2,2.0
664,1978,Western,Round 1,Seattle SuperSonics,4,,Los Angeles Lakers,5,,1,3.0
665,1977,,NBA Finals,Philadelphia 76ers,1,-160.0,Portland Trail Blazers,3,140.0,2,6.0
666,1977,Eastern,Conf Finals,Philadelphia 76ers,1,-220.0,Houston Rockets,2,180.0,1,6.0
667,1977,Western,Conf Finals,Los Angeles Lakers,1,,Portland Trail Blazers,3,,2,4.0
668,1977,Eastern,Conf Semis,Philadelphia 76ers,1,,Boston Celtics,4,,1,7.0
669,1977,Eastern,Conf Semis,Houston Rockets,2,,Washington Bullets,3,,1,6.0
670,1977,Western,Conf Semis,Los Angeles Lakers,1,,Golden State Warriors,4,,1,7.0
671,1977,Western,Conf Semis,Denver Nuggets,2,,Portland Trail Blazers,3,,2,6.0
672,1977,Eastern,Round 1,Washington Bullets,3,,Cleveland Cavaliers,6,,1,3.0
673,1977,Eastern,Round 1,Boston Celtics,4,,San Antonio Spurs,5,,1,2.0
674,1977,Western,Round 1,Portland Trail Blazers,3,,Chicago Bulls,6,,1,3.0
675,1977,Western,Round 1,Golden State Warriors,4,,Detroit Pistons,5,,1,3.0
676,1976,,NBA Finals,Boston Celtics,1,-200.0,Phoenix Suns,3,170.0,1,6.0
677,1976,Eastern,Conf Finals,Boston Celtics,1,-250.0,Cleveland Cavaliers,2,200.0,1,6.0
678,1976,Western,Conf Finals,Golden State Warriors,1,,Phoenix Suns,3,,2,7.0
679,1976,Eastern,Conf Semis,Boston Celtics,1,,Buffalo Braves,5,,1,6.0
680,1976,Eastern,Conf Semis,Cleveland Cavaliers,2,,Washington Bullets,3,,1,7.0
681,1976,Western,Conf Semis,Golden State Warriors,1,,Detroit Pistons,5,,1,6.0
682,1976,Western,Conf Semis,Seattle SuperSonics,2,,Phoenix Suns,3,,2,6.0
683,1976,Eastern,Round 1,Philadelphia 76ers,4,,Buffalo Braves,5,,2,3.0
684,1976,Western,Round 1,Milwaukee Bucks,4,,Detroit Pistons,5,,2,3.0
685,1975,,NBA Finals,Washington Bullets,2,-200.0,Golden State Warriors,1,170.0,2,4.0
686,1975,Eastern,Conf Finals,Boston Celtics,1,-180.0,Washington Bullets,2,160.0,2,6.0
687,1975,Western,Conf Finals,Golden State Warriors,1,100.0,Chicago Bulls,2,-120.0,1,7.0
688,1975,Eastern,Conf Semis,Boston Celtics,1,,Houston Rockets,4,,1,5.0
689,1975,Eastern,Conf Semis,Washington Bullets,2,,Buffalo Braves,3,,1,7.0
690,1975,Western,Conf Semis,Golden State Warriors,1,,Seattle SuperSonics,5,,1,6.0
691,1975,Western,Conf Semis,Chicago Bulls,2,,Kansas City Kings,3,,1,6.0
692,1975,Eastern,Round 1,Houston Rockets,4,,New York Knicks,5,,1,3.0
693,1975,Western,Round 1,Seattle SuperSonics,4,,Detroit Pistons,5,,1,3.0
694,1974,,NBA Finals,Milwaukee Bucks,1,,Boston Celtics,1,,2,7.0
695,1974,Eastern,Conf Finals,Boston Celtics,1,,New York Knicks,3,,1,5.0
696,1974,Western,Conf Finals,Milwaukee Bucks,1,,Chicago Bulls,3,,1,4.0
697,1974,Eastern,Conf Semis,Boston Celtics,1,,Buffalo Braves,4,,1,6.0
698,1974,Eastern,Conf Semis,New York Knicks,3,,Capital Bullets,2,,1,7.0
699,1974,Western,Conf Semis,Milwaukee Bucks,1,,Los Angeles Lakers,2,,1,5.0
700,1974,Western,Conf Semis,Chicago Bulls,3,,Detroit Pistons,4,,1,7.0
701,1973,,NBA Finals,Los Angeles Lakers,2,-160.0,New York Knicks,3,140.0,2,5.0
702,1973,Eastern,Conf Finals,Boston Celtics,1,,New York Knicks,3,,2,7.0
703,1973,Western,Conf Finals,Los Angeles Lakers,2,,Golden State Warriors,4,,1,5.0
704,1973,Eastern,Conf Semis,Boston Celtics,1,,Atlanta Hawks,4,,1,6.0
705,1973,Eastern,Conf Semis,New York Knicks,3,,Baltimore Bullets,2,,1,5.0
706,1973,Western,Conf Semis,Milwaukee Bucks,1,,Golden State Warriors,4,,2,6.0
707,1973,Western,Conf Semis,Los Angeles Lakers,2,,Chicago Bulls,3,,1,7.0
708,1972,,NBA Finals,Los Angeles Lakers,1,-250.0,New York Knicks,3,200.0,1,5.0
709,1972,Eastern,Conf Finals,Boston Celtics,1,,New York Knicks,3,,2,5.0
710,1972,Western,Conf Finals,Los Angeles Lakers,1,,Milwaukee Bucks,2,,1,6.0
711,1972,Eastern,Conf Semis,Boston Celtics,1,,Atlanta Hawks,4,,1,6.0
712,1972,Eastern,Conf Semis,Baltimore Bullets,2,,New York Knicks,3,,2,6.0
713,1972,Western,Conf Semis,Los Angeles Lakers,1,,Chicago Bulls,3,,1,4.0
714,1972,Western,Conf Semis,Milwaukee Bucks,2,,Golden State Warriors,4,,1,5.0
715,1971,,NBA Finals,Milwaukee Bucks,1,,Baltimore Bullets,2,,1,4.0
716,1971,Eastern,Conf Finals,New York Knicks,1,,Baltimore Bullets,2,,2,7.0
717,1971,Western,Conf Finals,Milwaukee Bucks,1,,Los Angeles Lakers,2,,1,5.0
718,1971,Eastern,Conf Semis,New York Knicks,1,,Atlanta Hawks,4,,1,5.0
719,1971,Eastern,Conf Semis,Baltimore Bullets,2,,Philadelphia 76ers,3,,1,7.0
720,1971,Western,Conf Semis,Milwaukee Bucks,1,,San Francisco Warriors,4,,1,5.0
721,1971,Western,Conf Semis,Los Angeles Lakers,2,,Chicago Bulls,3,,1,7.0
722,1970,,NBA Finals,New York Knicks,1,-160.0,Los Angeles Lakers,2,140.0,1,7.0
723,1970,Eastern,Conf Finals,New York Knicks,1,,Milwaukee Bucks,2,,1,5.0
724,1970,Western,Conf Finals,Atlanta Hawks,1,,Los Angeles Lakers,2,,2,4.0
725,1970,Eastern,Conf Semis,New York Knicks,1,,Baltimore Bullets,3,,1,7.0
726,1970,Eastern,Conf Semis,Milwaukee Bucks,2,,Philadelphia 76ers,4,,1,5.0
727,1970,Western,Conf Semis,Atlanta Hawks,1,,Chicago Bulls,3,,1,5.0
728,1970,Western,Conf Semis,Los Angeles Lakers,2,,Phoenix Suns,4,,1,7.0
729,1969,,NBA Finals,Los Angeles Lakers,1,-140.0,Boston Celtics,2,120.0,2,7.0
730,1969,Eastern,Conf Finals,New York Knicks,3,,Boston Celtics,4,,2,6.0
731,1969,Western,Conf Finals,Los Angeles Lakers,1,,Atlanta Hawks,2,,1,5.0
732,1969,Eastern,Conf Semis,Baltimore Bullets,1,,New York Knicks,3,,2,4.0
733,1969,Eastern,Conf Semis,Philadelphia 76ers,2,,Boston Celtics,4,,2,5.0
734,1969,Western,Conf Semis,Los Angeles Lakers,1,,San Diego Rockets,3,,1,5.0
735,1969,Western,Conf Semis,Atlanta Hawks,2,,San Francisco Warriors,4,,1,6.0
736,1968,,NBA Finals,Boston Celtics,2,,Los Angeles Lakers,2,,1,6.0
737,1968,Eastern,Conf Finals,Philadelphia 76ers,1,,Boston Celtics,2,,2,7.0
738,1968,Western,Conf Finals,Los Angeles Lakers,2,,San Francisco Warriors,3,,1,4.0
739,1968,Eastern,Conf Semis,Philadelphia 76ers,1,,New York Knicks,3,,1,6.0
740,1968,Eastern,Conf Semis,Boston Celtics,2,,Detroit Pistons,4,,1,6.0
741,1968,Western,Conf Semis,St Louis Hawks,1,,San Francisco Warriors,3,,2,5.0
742,1968,Western,Conf Semis,Los Angeles Lakers,2,,Chicago Bulls,4,,1,6.0
