,Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,SeriesLength
88,2018,Western,Round 1,Oklahoma City Thunder,4,-140.0,Utah Jazz,5,120.0,2,6.0
89,2017,,NBA Finals,Golden State Warriors,1,-300.0,Cleveland Cavaliers,2,250.0,1,5.0
90,2017,Eastern,Conf Finals,Boston Celtics,1,500.0,Cleveland Cavaliers,2,-700.0,2,5.0
91,2017,Western,Conf Finals,Golden State Warriors,1,-1050.0,San Antonio Spurs,2,675.0,1,4.0
92,2017,Eastern,Conf Semis,Boston Celtics,1,-185.0,Washington Wizards,4,160.0,1,7.0
93,2017,Eastern,Conf Semis,Cleveland Cavaliers,2,-475.0,Toronto Raptors,3,380.0,1,4.0
94,2017,Western,Conf Semis,Golden State Warriors,1,-3200.0,Utah Jazz,5,1600.0,1,4.0
95,2017,Western,Conf Semis,San Antonio Spurs,2,-300.0,Houston Rockets,3,250.0,1,6.0
96,2017,Eastern,Round 1,Boston Celtics,1,-470.0,Chicago Bulls,8,375.0,1,6.0
97,2017,Eastern,Round 1,Cleveland Cavaliers,2,-1100.0,Indiana Pacers,7,700.0,1,4.0
98,2017,Eastern,Round 1,Toronto Raptors,3,-440.0,Milwaukee Bucks,6,350.0,1,6.0
99,2017,Eastern,Round 1,Washington Wizards,4,-220.0,Atlanta Hawks,5,180.0,1,6.0
100,2017,Western,Round 1,Golden State Warriors,1,-7000.0,Portland Trail Blazers,8,3000.0,1,4.0
101,2017,Western,Round 1,San Antonio Spurs,2,-1070.0,Memphis Grizzlies,7,685.0,1,6.0
102,2017,Western,Round 1,Houston Rockets,3,-390.0,Oklahoma City Thunder,6,320.0,1,5.0
103,2017,Western,Round 1,Los Angeles Clippers,4,-245.0,Utah Jazz,5,205.0,2,7.0
104,2016,,NBA Finals,Golden State Warriors,1,-220.0,Cleveland Cavaliers,1,180.0,2,7.0
105,2016,Eastern,Conf Finals,Cleveland Cavaliers,1,-1350.0,Toronto Raptors,2,885.0,1,6.0
106,2016,Western,Conf Finals,Golden State Warriors,1,-430.0,Oklahoma City Thunder,3,345.0,1,7.0
107,2016,Eastern,Conf Semis,Cleveland Cavaliers,1,-500.0,Atlanta Hawks,4,400.0,1,4.0
108,2016,Eastern,Conf Semis,Toronto Raptors,2,-145.0,Miami Heat,3,125.0,1,7.0
109,2016,Western,Conf Semis,Golden State Warriors,1,-1600.0,Portland Trail Blazers,5,1050.0,1,5.0
110,2016,Western,Conf Semis,San Antonio Spurs,2,-270.0,Oklahoma City Thunder,3,230.0,2,6.0
111,2016,Eastern,Round 1,Cleveland Cavaliers,1,-1700.0,Detroit Pistons,8,1100.0,1,4.0
112,2016,Eastern,Round 1,Toronto Raptors,2,-400.0,Indiana Pacers,7,325.0,1,7.0
113,2016,Eastern,Round 1,Miami Heat,3,-170.0,Charlotte Hornets,6,150.0,1,7.0
114,2016,Eastern,Round 1,Atlanta Hawks,4,-165.0,Boston Celtics,5,145.0,1,6.0
115,2016,Western,Round 1,Golden State Warriors,1,-10000.0,Houston Rockets,8,4000.0,1,5.0
116,2016,Western,Round 1,San Antonio Spurs,2,-17000.0,Memphis Grizzlies,7,6625.0,1,4.0
117,2016,Western,Round 1,Oklahoma City Thunder,3,-3500.0,Dallas Mavericks,6,1750.0,1,5.0
118,2016,Western,Round 1,Los Angeles Clippers,4,-525.0,Portland Trail Blazers,5,415.0,2,6.0
119,2015,,NBA Finals,Golden State Warriors,1,-220.0,Cleveland Cavaliers,2,190.0,1,6.0
120,2015,Eastern,Conf Finals,Atlanta Hawks,1,165.0,Cleveland Cavaliers,2,-190.0,2,4.0
121,2015,Western,Conf Finals,Golden State Warriors,1,-880.0,Houston Rockets,2,665.0,1,5.0
122,2015,Eastern,Conf Semis,Atlanta Hawks,1,-245.0,Washington Wizards,5,205.0,1,6.0
123,2015,Eastern,Conf Semis,Cleveland Cavaliers,2,-240.0,Chicago Bulls,3,200.0,1,6.0
124,2015,Western,Conf Semis,Golden State Warriors,1,-1000.0,Memphis Grizzlies,5,725.0,1,6.0
125,2015,Western,Conf Semis,Houston Rockets,2,-150.0,Los Angeles Clippers,3,130.0,1,7.0
126,2015,Eastern,Round 1,Atlanta Hawks,1,-1350.0,Brooklyn Nets,8,900.0,1,6.0
127,2015,Eastern,Round 1,Cleveland Cavaliers,2,-5000.0,Boston Celtics,7,2100.0,1,4.0
128,2015,Eastern,Round 1,Chicago Bulls,3,-950.0,Milwaukee Bucks,6,700.0,1,6.0
129,2015,Eastern,Round 1,Toronto Raptors,4,-175.0,Washington Wizards,5,155.0,2,4.0
130,2015,Western,Round 1,Golden State Warriors,1,-3000.0,New Orleans Pelicans,8,1500.0,1,4.0
131,2015,Western,Round 1,Houston Rockets,2,-260.0,Dallas Mavericks,7,220.0,1,5.0
132,2015,Western,Round 1,Los Angeles Clippers,3,160.0,San Antonio Spurs,6,-180.0,1,7.0
133,2015,Western,Round 1,Memphis Grizzlies,5,-225.0,Portland Trail Blazers,4,195.0,1,5.0
134,2014,,NBA Finals,San Antonio Spurs,1,-155.0,Miami Heat,2,135.0,1,5.0
135,2014,Eastern,Conf Finals,Indiana Pacers,1,300.0,Miami Heat,2,-380.0,2,6.0
136,2014,Western,Conf Finals,San Antonio Spurs,1,-245.0,Oklahoma City Thunder,2,205.0,1,6.0
137,2014,Eastern,Conf Semis,Indiana Pacers,1,-165.0,Washington Wizards,5,145.0,1,6.0
138,2014,Eastern,Conf Semis,Miami Heat,2,-620.0,Brooklyn Nets,6,450.0,1,5.0
139,2014,Western,Conf Semis,San Antonio Spurs,1,-410.0,Portland Trail Blazers,5,320.0,1,5.0
140,2014,Western,Conf Semis,Oklahoma City Thunder,2,-205.0,Los Angeles Clippers,3,175.0,1,6.0
141,2014,Eastern,Round 1,Indiana Pacers,1,-600.0,Atlanta Hawks,8,440.0,1,7.0
142,2014,Eastern,Round 1,Miami Heat,2,-2500.0,Charlotte Bobcats,7,1000.0,1,4.0
143,2014,Eastern,Round 1,Toronto Raptors,3,110.0,Brooklyn Nets,6,-130.0,2,7.0
144,2014,Eastern,Round 1,Chicago Bulls,4,-180.0,Washington Wizards,5,160.0,2,5.0
145,2014,Western,Round 1,San Antonio Spurs,1,-875.0,Dallas Mavericks,8,585.0,1,7.0
146,2014,Western,Round 1,Oklahoma City Thunder,2,-500.0,Memphis Grizzlies,7,375.0,1,7.0
147,2014,Western,Round 1,Los Angeles Clippers,3,-400.0,Golden State Warriors,6,285.0,1,7.0
