Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,Result
2015,Eastern,Conf Finals,Atlanta Hawks,1,+165,Cleveland Cavaliers,2,-190,Cleveland Cavaliers,4-0
2015,Western,Conf Finals,Golden State Warriors,1,-880,Houston Rockets,2,+665,Golden State Warriors,4-1
2015,Eastern,Conf Semis,Atlanta Hawks,1,-245,Washington Wizards,5,+205,Atlanta Hawks,4-2
2015,Eastern,Conf Semis,Cleveland Cavaliers,2,-240,Chicago Bulls,3,+200,Cleveland Cavaliers,4-2
2015,Western,Conf Semis,Golden State Warriors,1,-1000,Memphis Grizzlies,5,+725,Golden State Warriors,4-2
2015,Western,Conf Semis,Houston Rockets,2,-150,Los Angeles Clippers,3,+130,Houston Rockets,4-3
2015,Eastern,Round 1,Atlanta Hawks,1,-1350,Brooklyn Nets,8,+900,Atlanta Hawks,4-2
2015,Eastern,Round 1,Cleveland Cavaliers,2,-5000,Boston Celtics,7,+2100,Cleveland Cavaliers,4-0
2015,Eastern,Round 1,Chicago Bulls,3,-950,Milwaukee Bucks,6,+700,Chicago Bulls,4-2
2015,Eastern,Round 1,Toronto Raptors,4,-175,Washington Wizards,5,+155,Washington Wizards,4-0
2015,Western,Round 1,Golden State Warriors,1,-3000,New Orleans Pelicans,8,+1500,Golden State Warriors,4-0
2015,Western,Round 1,Houston Rockets,2,-260,Dallas Mavericks,7,+220,Houston Rockets,4-1
2015,Western,Round 1,Los Angeles Clippers,3,+160,San Antonio Spurs,6,-180,Los Angeles Clippers,4-3
2015,Western,Round 1,Memphis Grizzlies,5,-225,Portland Trail Blazers,4,+195,Memphis Grizzlies,4-1
2014,,NBA Finals,San Antonio Spurs,1,-155,Miami Heat,2,+135,San Antonio Spurs,4-1
2014,Eastern,Conf Finals,Indiana Pacers,1,+300,Miami Heat,2,-380,Miami Heat,4-2
2014,Western,Conf Finals,San Antonio Spurs,1,-245,Oklahoma City Thunder,2,+205,San Antonio Spurs,4-2
2014,Eastern,Conf Semis,Indiana Pacers,1,-165,Washington Wizards,5,+145,Indiana Pacers,4-2
2014,Eastern,Conf Semis,Miami Heat,2,-620,Brooklyn Nets,6,+450,Miami Heat,4-1
2014,Western,Conf Semis,San Antonio Spurs,1,-410,Portland Trail Blazers,5,+320,San Antonio Spurs,4-1
2014,Western,Conf Semis,Oklahoma City Thunder,2,-205,Los Angeles Clippers,3,+175,Oklahoma City Thunder,4-2
2014,Eastern,Round 1,Indiana Pacers,1,-600,Atlanta Hawks,8,+440,Indiana Pacers,4-3
2014,Eastern,Round 1,Miami Heat,2,-2500,Charlotte Bobcats,7,+1000,Miami Heat,4-0
2014,Eastern,Round 1,Toronto Raptors,3,+110,Brooklyn Nets,6,-130,Brooklyn Nets,4-3
2014,Eastern,Round 1,Chicago Bulls,4,-180,Washington Wizards,5,+160,Washington Wizards,4-1
2014,Western,Round 1,San Antonio Spurs,1,-875,Dallas Mavericks,8,+585,San Antonio Spurs,4-3
2014,Western,Round 1,Oklahoma City Thunder,2,-500,Memphis Grizzlies,7,+375,Oklahoma City Thunder,4-3
2014,Western,Round 1,Los Angeles Clippers,3,-400,Golden State Warriors,6,+285,Los Angeles Clippers,4-3
2014,Western,Round 1,Houston Rockets,4,-200,Portland Trail Blazers,5,+170,Portland Trail Blazers,4-2
2013,,NBA Finals,Miami Heat,1,-220,San Antonio Spurs,2,+180,Miami Heat,4-3
2013,Eastern,Conf Finals,Miami Heat,1,-850,Indiana Pacers,3,+575,Miami Heat,4-3
2013,Western,Conf Finals,San Antonio Spurs,2,-145,Memphis Grizzlies,5,+125,San Antonio Spurs,4-0
2013,Eastern,Conf Semis,Miami Heat,1,-3000,Chicago Bulls,5,+1100,Miami Heat,4-1
2013,Eastern,Conf Semis,New York Knicks,2,-190,Indiana Pacers,3,+165,Indiana Pacers,4-2
2013,Western,Conf Semis,Oklahoma City Thunder,1,+107,Memphis Grizzlies,5,-127,Memphis Grizzlies,4-1
2013,Western,Conf Semis,San Antonio Spurs,2,-950,Golden State Warriors,6,+625,San Antonio Spurs,4-2
2013,Eastern,Round 1,Miami Heat,1,-20000,Milwaukee Bucks,8,+7500,Miami Heat,4-0
2013,Eastern,Round 1,New York Knicks,2,-410,Boston Celtics,7,+320,New York Knicks,4-2
2013,Eastern,Round 1,Indiana Pacers,3,-380,Atlanta Hawks,6,+300,Indiana Pacers,4-2
2013,Eastern,Round 1,Brooklyn Nets,4,-145,Chicago Bulls,5,+125,Chicago Bulls,4-3
2013,Western,Round 1,Oklahoma City Thunder,1,-1900,Houston Rockets,8,+875,Oklahoma City Thunder,4-2
2013,Western,Round 1,San Antonio Spurs,2,-1000,Los Angeles Lakers,7,+650,San Antonio Spurs,4-0
2013,Western,Round 1,Denver Nuggets,3,-460,Golden State Warriors,6,+355,Golden State Warriors,4-2
2013,Western,Round 1,Los Angeles Clippers,4,-180,Memphis Grizzlies,5,+160,Memphis Grizzlies,4-2
2012,,NBA Finals,Oklahoma City Thunder,2,-175,Miami Heat,2,+155,Miami Heat,4-1
2012,Eastern,Conf Finals,Miami Heat,2,-530,Boston Celtics,4,+400,Miami Heat,4-3
2012,Western,Conf Finals,San Antonio Spurs,1,-205,Oklahoma City Thunder,2,+175,Oklahoma City Thunder,4-2
2012,Eastern,Conf Semis,Miami Heat,2,-950,Indiana Pacers,3,+625,Miami Heat,4-2
2012,Eastern,Conf Semis,Boston Celtics,4,-205,Philadelphia 76ers,8,+175,Boston Celtics,4-3
2012,Western,Conf Semis,San Antonio Spurs,1,-2500,Los Angeles Clippers,5,+1000,San Antonio Spurs,4-0
2012,Western,Conf Semis,Oklahoma City Thunder,2,-450,Los Angeles Lakers,3,+350,Oklahoma City Thunder,4-1
2012,Eastern,Round 1,Chicago Bulls,1,-1400,Philadelphia 76ers,8,+900,Philadelphia 76ers,4-2
2012,Eastern,Round 1,Miami Heat,2,-900,New York Knicks,7,+650,Miami Heat,4-1
2012,Eastern,Round 1,Indiana Pacers,3,-800,Orlando Magic,6,+600,Indiana Pacers,4-1
2012,Eastern,Round 1,Atlanta Hawks,4,+160,Boston Celtics,5,-190,Boston Celtics,4-2
2012,Western,Round 1,San Antonio Spurs,1,-2500,Utah Jazz,8,+1450,San Antonio Spurs,4-0
2012,Western,Round 1,Oklahoma City Thunder,2,-500,Dallas Mavericks,7,+400,Oklahoma City Thunder,4-0
2012,Western,Round 1,Los Angeles Lakers,3,-240,Denver Nuggets,6,+195,Los Angeles Lakers,4-3
2012,Western,Round 1,Memphis Grizzlies,4,-200,Los Angeles Clippers,5,+170,Los Angeles Clippers,4-3
2011,,NBA Finals,Miami Heat,2,-175,Dallas Mavericks,3,+155,Dallas Mavericks,4-2
2011,Eastern,Conf Finals,Chicago Bulls,1,+160,Miami Heat,2,-190,Miami Heat,4-1
2011,Western,Conf Finals,Dallas Mavericks,3,-240,Oklahoma City Thunder,4,+200,Dallas Mavericks,4-1
2011,Eastern,Conf Semis,Chicago Bulls,1,-800,Atlanta Hawks,5,+550,Chicago Bulls,4-2
2011,Eastern,Conf Semis,Miami Heat,2,-190,Boston Celtics,3,+165,Miami Heat,4-1
2011,Western,Conf Semis,Los Angeles Lakers,2,-360,Dallas Mavericks,3,+280,Dallas Mavericks,4-0
2011,Western,Conf Semis,Oklahoma City Thunder,4,-350,Memphis Grizzlies,8,+275,Oklahoma City Thunder,4-3
2011,Eastern,Round 1,Chicago Bulls,1,-4000,Indiana Pacers,8,+1200,Chicago Bulls,4-1
2011,Eastern,Round 1,Miami Heat,2,-2500,Philadelphia 76ers,7,+1000,Miami Heat,4-1
2011,Eastern,Round 1,Boston Celtics,3,-350,New York Knicks,6,+250,Boston Celtics,4-0
2011,Eastern,Round 1,Orlando Magic,4,-650,Atlanta Hawks,5,+425,Atlanta Hawks,4-2
2011,Western,Round 1,San Antonio Spurs,1,-390,Memphis Grizzlies,8,+280,Memphis Grizzlies,4-2
2011,Western,Round 1,Los Angeles Lakers,2,-2500,New Orleans Hornets,7,+1000,Los Angeles Lakers,4-2
2011,Western,Round 1,Dallas Mavericks,3,-200,Portland Trail Blazers,6,+160,Dallas Mavericks,4-2
2011,Western,Round 1,Oklahoma City Thunder,4,-220,Denver Nuggets,5,+170,Oklahoma City Thunder,4-1
2010,,NBA Finals,Los Angeles Lakers,1,-190,Boston Celtics,4,+165,Los Angeles Lakers,4-3
2010,Eastern,Conf Finals,Orlando Magic,2,-260,Boston Celtics,4,+220,Boston Celtics,4-2
2010,Western,Conf Finals,Los Angeles Lakers,1,-340,Phoenix Suns,3,+270,Los Angeles Lakers,4-2
2010,Eastern,Conf Semis,Cleveland Cavaliers,1,-480,Boston Celtics,4,+380,Boston Celtics,4-2
2010,Eastern,Conf Semis,Orlando Magic,2,-800,Atlanta Hawks,3,+550,Orlando Magic,4-0
2010,Western,Conf Semis,Los Angeles Lakers,1,-420,Utah Jazz,5,+310,Los Angeles Lakers,4-0
2010,Western,Conf Semis,Phoenix Suns,3,-140,San Antonio Spurs,7,+120,Phoenix Suns,4-0
2010,Eastern,Round 1,Cleveland Cavaliers,1,-3000,Chicago Bulls,8,+1400,Cleveland Cavaliers,4-1
2010,Eastern,Round 1,Orlando Magic,2,-1000,Charlotte Bobcats,7,+650,Orlando Magic,4-0
2010,Eastern,Round 1,Atlanta Hawks,3,-750,Milwaukee Bucks,6,+550,Atlanta Hawks,4-3
2010,Eastern,Round 1,Boston Celtics,4,-175,Miami Heat,5,+155,Boston Celtics,4-1
2010,Western,Round 1,Los Angeles Lakers,1,-800,Oklahoma City Thunder,8,+600,Los Angeles Lakers,4-2
2010,Western,Round 1,Dallas Mavericks,2,-150,San Antonio Spurs,7,+130,San Antonio Spurs,4-2
2010,Western,Round 1,Phoenix Suns,3,-500,Portland Trail Blazers,6,+400,Phoenix Suns,4-2
2010,Western,Round 1,Denver Nuggets,4,-175,Utah Jazz,5,+150,Utah Jazz,4-2
2009,,NBA Finals,Los Angeles Lakers,1,-280,Orlando Magic,3,+240,Los Angeles Lakers,4-1
2009,Eastern,Conf Finals,Cleveland Cavaliers,1,-700,Orlando Magic,3,+550,Orlando Magic,4-2
2009,Western,Conf Finals,Los Angeles Lakers,1,-250,Denver Nuggets,2,+210,Los Angeles Lakers,4-2
2009,Eastern,Conf Semis,Cleveland Cavaliers,1,-2450,Atlanta Hawks,4,+1000,Cleveland Cavaliers,4-0
2009,Eastern,Conf Semis,Boston Celtics,2,-120,Orlando Magic,3,+100,Orlando Magic,4-3
2009,Western,Conf Semis,Los Angeles Lakers,1,-1100,Houston Rockets,5,+700,Los Angeles Lakers,4-3
2009,Western,Conf Semis,Denver Nuggets,2,-240,Dallas Mavericks,6,+200,Denver Nuggets,4-1
2009,Eastern,Round 1,Cleveland Cavaliers,1,-5000,Detroit Pistons,8,+3000,Cleveland Cavaliers,4-0
2009,Eastern,Round 1,Boston Celtics,2,-545,Chicago Bulls,7,+405,Boston Celtics,4-3
2009,Eastern,Round 1,Orlando Magic,3,-1400,Philadelphia 76ers,6,+800,Orlando Magic,4-2
2009,Eastern,Round 1,Atlanta Hawks,4,-145,Miami Heat,5,+125,Atlanta Hawks,4-3
2009,Western,Round 1,Los Angeles Lakers,1,-2000,Utah Jazz,8,+1200,Los Angeles Lakers,4-1
2009,Western,Round 1,Denver Nuggets,2,-210,New Orleans Hornets,7,+175,Denver Nuggets,4-1
2009,Western,Round 1,San Antonio Spurs,3,-190,Dallas Mavericks,6,+160,Dallas Mavericks,4-1
2009,Western,Round 1,Portland Trail Blazers,4,-175,Houston Rockets,5,+150,Houston Rockets,4-2
